sample_N,runtime,hypercubes_found,algorithm
10,0.27086,0,HypercubeME
10,0.30605888,0,HypercubeME
10,0.32033,0,HypercubeME
100,1.9787600,257,HypercubeME
100,1.82994556,257,HypercubeME
100,1.702987,257,HypercubeME
200,2.91339612,1410,HypercubeME
200,2.930235,1410,HypercubeME
200,2.89253,1410,HypercubeME
300,4.89269,3050,HypercubeME
300,4.32968,3050,HypercubeME
300,4.0995464,3050,HypercubeME
400,6.333112,4961,HypercubeME
400,5.5806055,4961,HypercubeME
400,5.95536,4961,HypercubeME
500,7.7980785,7554,HypercubeME
500,7.96963882,7554,HypercubeME
500,7.44736,7554,HypercubeME
10,0.04,45,Hypercuboids
10,0.03343,45,Hypercuboids
10,0.02538,45,Hypercuboids
100,0.86094,5626,Hypercuboids
100,0.86379,5626,Hypercuboids
100,0.87001,5626,Hypercuboids
200,13.17045,32849,Hypercuboids
200,13.17045,32849,Hypercuboids
200,13.53249,32849,Hypercuboids
300,79.05117,92290,Hypercuboids
300,78.61263,92290,Hypercuboids
300,80.7543,92290,Hypercuboids
400,423.6797,216037,Hypercuboids
400,385.85092,216037,Hypercuboids
400,380.52777,216037,Hypercuboids
500,1103.00325,367469,Hypercuboids
500,1090.89587,367469,Hypercuboids
500,1148.76073,367469,Hypercuboids
