IPDS7 sample sizes, dim = 1 and 2 only for genotypes N > 1000; only hyperrectangles; on cluster
IPDS7 sample size	Dimension	Hyperrectangles found	Runtime (s)	Runtime (hr min sec)
100	1	4838	0.17314	
100	2	235	1.1896	
100	3	17	0.00406	
100	Total	5090	1.47662	1.4 s 
200	1	19271	0.54104	
200	2	6700	18.76492	
200	3	1017	2.49564	
200	Total	26988	22.02053	
300	1	43873	1.25574	
300	2	18876	96.70561	
300	3	3698	19.05059	
300	4	96	0.72458	
300	Total	66543	117.96508	
400	1	78370	2.10461	
400	2	52478	317.61942	
400	3	13694	143.44001	
400	4	734	9.8515	
400	5	6	0.03189	
400	Total	145282	473.37478	
500	1	122842	3.40582	
500	2	101350	776.90199	
500	3	36876	529.00398	
500	4	3778	71.11571	
500	5	114	0.77956	
500	Total	264960	1381.76075	
600	1	177284	4.79801	
600	2	168618	1621.99981	
600	3	59764	1468.61566	
600	4	5530	186.81456	
600	5	132	1.64375	
600	Total	411328	3284.7468	
700	1	241718	6.78167	
700	2	247286	3018.41185	
700	3	99961	3164.75005	
700	4	10739	520.55281	
700	5	225	6.09358	
700	Total	599929	6717.8536	
800	1	316063	8.39042	
800	2	348958	5238.62478	
800	3	138929	6352.76957	
800	4	14246	1005.19688	
800	5	247	10.67143	
800	Total	818443	12617.25378	
900	1	400552	10.9116	
900	2	436227	8405.94359	
900	3	181085	9936.88982	
900	4	18850	1705.30814	
900	5	291	18.63665	
900	Total	1037005	20079.74027	
1000	1	495464	15.213	
1000	2	436942	12859.92072	
1000	Total	932406	12875.13372	
1100	1	599953	18.42307	
1100	2	549060	19407.83761	
1100	Total	1149013	19426.26068	5 hr 23 min
1200	1	714164	20.80297	
1200	2	760955	26963.14417	
1200	Total	1475119	26983.94714	7 hr 29 min
1300	1	838658	25.5483	
1300	2	883001	37688.36964	
1300	Total	1721659	37713.91794	10 hr 28 min
1400	1	973113	29.06279	
1400	2	1033706	49605.0344	
1400	Total	2006819	49634.09719	13 hr 47 min
1500	1	1117840	33.59526	
1500	2	1115450	65509.54284	
1500	Total	2233290	65543.1381	18 hr 12 min
1600	1	1272090	37.48075	
1600	2	1425614	86322.41132	
1600	Total	2697704	86359.89207	23 hr 59 min
1700	1	1436623	42.25171	
1700	2	1642455	110302.5378	
1700	Total	3079078	110344.7895	30 hr 39 min
1800	1	1610719	46.50391	
1800	2	2107414	138413.199	
1800	Total	3718133	138459.7029	38 hr 27 min
1900	1	1795530	55.8263	
1900	2	2174913	171314.5046	
1900	Total	3970443	171370.3309	47 hr 36 min
2000	1	1989720	60.77828	
2000	2	2447952	209805.6755	
2000	Total	4437672	209866.4538	58 hr 17 min
2100	1	2193992	68.4099	
2100	2	2749692	254203.1319	
2100	Total	4943684	254271.5418	70 hr 37 min
2200	1	2407974	73.74858	
2200	2	3351221	305068.9361	
2200	Total	5759195	305142.6847	84 hr 45 min
2300	1	2632392	80.64	
2300	2	3720898	378153.5	
2300	Total	6353290	378234.14	105 hr
2400	1	2866399	91.97296	
2400	2	4440607	486729.6416	
2400	Total	7307006	486821.6145	135 hr 13 min
2500	1	3110723	95.34634	
2500	2	4978182	517365.42	
2500	Total	8088905	517460.7663	143 hr 44 min
