reason,count,category
menopause symptoms,13,negative
implied hormonal management,9,negative
menopause,9,negative
doesnt pose a risk of blood clots,7,negative
menopausal symptoms,7,negative
diagnosed as premenopausal by a doctor,7,negative
experiencing more headache days than usual,6,negative
low b values,6,negative
selection based on medical historycommitment to certain conditions,6,negative
experiencing symptoms of menopause not being addressed by the health center belief that there were other symptoms beyond the classic ones associated with menopause,5,negative
side effects,5,negative
discontinuation of estrogen patchessymptoms experienced,5,negative
felt worse after trying to stop,5,negative
managing menopause symptoms,5,negative
estradot depot pose are erected throughout sweden until march,5,negative
previous hormonal breast cancer,5,negative
not yet six months after last period,4,negative
controlling periodsheavy periods after having daughterprevious use of minipills,4,negative
to regain a normal menstrual cycle with a normal period,4,negative
deficiencies found via blood tests,4,negative
intolerance to progestin,4,negative
sleep was affected,4,negative
to stop the bleeding,4,negative
small wounds due to too low estrogenexperiencing estrogen dominance at temporarily increased dose,4,negative
implied depression,4,negative
trouble sleepingmenopausal problem,4,negative
not enough effect with fluoxetine,4,negative
vertebral fractures,4,negative
concerns about rancidity of salmon oil recommendation of a friend,3,negative
ran out of patches,3,negative
doctors recommendation,3,negative
thought sweats and chills went away,3,negative
extreme pain upon waking up,3,negative
immunological problems,3,negative
to manage menopause symptomsduring pregnancy,3,negative
cyclic use giving real dipsneed for a weaker dose,3,negative
fluctuation of hormonesunpleasant symptoms such as cramping in the calves and legs,3,negative
to increase sex drive,3,negative
menopausal development and low estrogen levels,3,negative
irregular bleeding,3,negative
hormonal changes,3,negative
joint pain inflammation,3,negative
hair loss,3,negative
hrt and menopause can affect the bodys ability to absorb b and both conditions can cause similar symptoms,3,negative
increased risk of blood clots,3,negative
family history of breast cancer,3,negative
to manage hot flashesfelt sick all the time without it,3,negative
menopause symptomsbleedingpotential side effect weight gain,3,negative
constant fatigue and lack of libido,3,negative
providing additional support,3,negative
estradot is not available,3,negative
to manage menopause symptoms,3,negative
headache,3,negative
treatment for menopause symptoms and potential pain management,3,negative
switched from fluoxetine due to not enough effect with fluoxetine,3,negative
heart palpitationssleep problemsanxietyconvulsions,3,negative
seeking a solution for profuse bleeding and pms symptoms,3,negative
for flavoring and adding freshness,3,negative
implied high estrogen levels,3,negative
can choose between oral and vaginal intake,3,negative
unnecessary prescriptionlack of knowledge about physiological saline solution,2,negative
symptoms when estrogen is too low,2,negative
utrogestan is weaker than provera,2,negative
doctors advice due to high testosterone levels,2,negative
prescription from gynecologist,2,negative
high fsh and low amh valuespersistent cramps,2,negative
changing contraceptive methods,2,negative
getting hormones balanced,2,negative
history of pms and heavy bleedingmenopause symptoms,2,negative
troublesome symptoms related to period,2,negative
unspecified symptoms,2,negative
to avoid increasing the dose,2,negative
endometrial hyperplasia detected during ultrasound biopsy to rule out malignancy,2,negative
to prevent fungus prescribed by doctors with antibiotics,2,negative
hrt since low estrogen levelhigh dose concern by gynecologist,2,negative
symptoms returned after finishing the treatments,2,negative
to stop ovulation until it subsides naturally due to irregular and prolonged bleeding,2,negative
prescribed for gynaecological issue,2,negative
prolonged bleedingfear of yeast infection,2,negative
diagnosed with menopauseexperiencing pmds  days a yeartaking antidepressants and antianxiety medication,2,negative
to maintain the health of the endometrium if the uterus is still present,2,negative
low estrogen levels,2,negative
following doctors prescription,2,negative
managing psychological problems,2,negative
risk of cancer,2,negative
to treat infertility,2,negative
doctor wanted to change to sertraline admission to psychiatric emergency room doctor on the ward changed to saroten sertraline too similar to citalopram,2,negative
for a specific condition related to menstruation,2,negative
pmds treatment is unbearable,2,negative
hrt has a tendency to affect some vitamins and minerals negativelyhrt and menopause can affect the bodys ability to absorb b and both conditions can cause similar symptoms,2,negative
addresses the root cause of the problem,2,negative
to put the individual in menopause for  months,2,negative
to manage symptomsutrogestan causes estrogen levels to drop too much,2,negative
adapting to bodys signalsmanaging tiredness,2,negative
panic disorder symptoms were misdiagnosed,2,negative
supporting gut health,2,negative
bleeding as per gynecologists suggestion,2,negative
anxiety,2,negative
doctors prescription,2,negative
prescribed as a treatment for endometriosis,2,negative
pain management,2,negative
trauma managementpatches often out of stock,2,negative
advised by a healthcare professional,2,negative
to correct an imbalance in hormones,2,negative
did not respond well to previous treatments,2,negative
to prevent repeated utis,2,negative
negative reaction,2,negative
ruled out for estrogen,2,negative
easier to feel well with a smaller dose,2,negative
depressing state sweating issue,2,negative
depressiondifficulty sleeping,2,negative
to maintain regular menstrual cycles and ovulation,2,negative
symptoms of taking too much estrogen,2,negative
inferred hormonal changes,2,negative
illness,2,negative
to induce menopause after a peephole surgery,2,negative
zinc deficiency,2,negative
incipient menstruation issues,2,negative
may be too little,2,negative
manage menopause symptoms,2,negative
to address cell changes,2,negative
discomfort in the abdomen,2,negative
hormonal changes before menopausesymptoms tiredness depression irritability poor sleep convulsions,2,negative
symptoms did not go away with the lowest dosehad to test the higher dose,2,negative
the individual thinks the estradot patch has lost its effect,2,negative
recommendation from a friend concerns about rancidity of other omega supplements test results showing imbalances and inflammation in the body,2,negative
sleep problems,2,negative
contraction every hour all night,2,negative
manage eruptionsmanage mole pain,2,negative
uncontrollable hunger and stomach pains,2,negative
breast cancerhormonerelated,2,negative
managing symptoms associated with perimenopause,2,negative
no longer needed,2,negative
to strengthen fragile mucous membranesto prevent urinary tract infections,2,negative
perimenopauseside effects,2,negative
adverse effect on stomach,2,negative
to save them for when they have the worst pain,2,negative
apc resistance,2,negative
managing low mood or depression during menopause,2,negative
got a rash from the patches,2,negative
menopause symptoms and urine infection,2,negative
needs to change places,2,negative
manufacturer sold out patches,2,negative
fragile mucous membranesrepeated urinary tract infections,2,negative
to manage palpitations,2,negative
to control long bleeds and breaks,2,negative
horrible,2,negative
dried out mucous membranesestrogen deficiency,2,negative
abnormal bleeding,2,negative
cofactors for b,2,negative
desire for an alternative treatment due to severe seizures,2,negative
predisposition to blood clots,2,negative
you should be on the usual dose for your age,2,negative
could not find the original tablets suggested by a pharmacist,2,negative
part of a package of testsfor monitoring changes after  months,2,negative
to avoid nighttime contractions and stomach problems,2,negative
managing symptoms of perimenopause,2,negative
managing pmds symptoms,2,negative
maintaining balance,2,negative
increased daytime fatigue,2,negative
managing symptoms associated with menopause and anxiety,2,negative
accidentally fell off in the shower,2,negative
uneducated gynecologists often suggest that higher doses of estrogen are too high,2,negative
stomach problems,2,negative
to induce bleedingto manage menopause symptomsduring pregnancy,2,negative
cannot eat hormonesexperiences serious pmds symptoms,2,negative
histamine intolerance due to estrogen dominance,2,negative
side effects similar to menopauseclots in the lungs possibly related to covid and birth control pills,2,negative
terrible pain and torrential bleeding switching from divigel,2,negative
increased seizures during summer,2,negative
sweating depression crying over everything,2,negative
to find the right level,2,negative
cant find hormone patches anymore,2,negative
to stop the bleedingto manage a new bleeding,2,negative
managing migraines,2,negative
not satisfied with divigel compared to estradot patch,2,negative
difficulty obtaining previous patches,2,negative
itching,2,negative
managing osteoarthritis symptomsmaintaining joint health,2,negative
to stop excessive bleeding,2,negative
resumption of bleeding after stopping,2,negative
other symptoms were still there,2,negative
early menopause symptoms,2,negative
postponed until september,2,negative
