reason,count,category,subcategory
menopause symptoms,13,negative,other_issues
implied hormonal management,9,negative,other_issues
menopause,9,negative,other_issues
doesnt pose a risk of blood clots,7,negative,other_issues
menopausal symptoms,7,negative,other_issues
diagnosed as premenopausal by a doctor,7,negative,other_issues
experiencing more headache days than usual,6,negative,headache
low b values,6,negative,other_issues
selection based on medical historycommitment to certain conditions,6,negative,other_issues
experiencing symptoms of menopause not being addressed by the health center belief that there were other symptoms beyond the classic ones associated with menopause,5,negative,other_issues
side effects,5,negative,other_issues
discontinuation of estrogen patchessymptoms experienced,5,negative,other_issues
felt worse after trying to stop,5,negative,other_issues
managing menopause symptoms,5,negative,other_issues
estradot depot pose are erected throughout sweden until march,5,negative,other_issues
previous hormonal breast cancer,5,negative,cancer_fear
not yet six months after last period,4,negative,bleeding
controlling periodsheavy periods after having daughterprevious use of minipills,4,negative,bleeding
to regain a normal menstrual cycle with a normal period,4,negative,bleeding
deficiencies found via blood tests,4,negative,other_issues
intolerance to progestin,4,negative,other_issues
sleep was affected,4,negative,sleep_issues
to stop the bleeding,4,negative,bleeding
small wounds due to too low estrogenexperiencing estrogen dominance at temporarily increased dose,4,negative,other_issues
implied depression,4,negative,depression_issues
trouble sleepingmenopausal problem,4,negative,sleep_issues
not enough effect with fluoxetine,4,negative,other_issues
vertebral fractures,4,negative,other_issues
concerns about rancidity of salmon oil recommendation of a friend,3,negative,other_issues
ran out of patches,3,negative,other_issues
doctors recommendation,3,negative,other_issues
thought sweats and chills went away,3,negative,other_issues
extreme pain upon waking up,3,negative,pain
immunological problems,3,negative,other_issues
to manage menopause symptomsduring pregnancy,3,negative,other_issues
cyclic use giving real dipsneed for a weaker dose,3,negative,other_issues
fluctuation of hormonesunpleasant symptoms such as cramping in the calves and legs,3,negative,other_issues
to increase sex drive,3,negative,other_issues
menopausal development and low estrogen levels,3,negative,other_issues
irregular bleeding,3,negative,bleeding
hormonal changes,3,negative,other_issues
joint pain inflammation,3,negative,pain
hair loss,3,negative,hair_issues
hrt and menopause can affect the bodys ability to absorb b and both conditions can cause similar symptoms,3,negative,other_issues
increased risk of blood clots,3,negative,other_issues
family history of breast cancer,3,negative,cancer_fear
to manage hot flashesfelt sick all the time without it,3,negative,other_issues
menopause symptomsbleedingpotential side effect weight gain,3,negative,bleeding
constant fatigue and lack of libido,3,negative,other_issues
providing additional support,3,negative,other_issues
estradot is not available,3,negative,other_issues
to manage menopause symptoms,3,negative,other_issues
headache,3,negative,headache
treatment for menopause symptoms and potential pain management,3,negative,pain
switched from fluoxetine due to not enough effect with fluoxetine,3,negative,other_issues
heart palpitationssleep problemsanxietyconvulsions,3,negative,sleep_issues
seeking a solution for profuse bleeding and pms symptoms,3,negative,bleeding
for flavoring and adding freshness,3,negative,other_issues
implied high estrogen levels,3,negative,other_issues
can choose between oral and vaginal intake,3,negative,other_issues
unnecessary prescriptionlack of knowledge about physiological saline solution,2,negative,other_issues
symptoms when estrogen is too low,2,negative,other_issues
utrogestan is weaker than provera,2,negative,other_issues
doctors advice due to high testosterone levels,2,negative,other_issues
prescription from gynecologist,2,negative,other_issues
high fsh and low amh valuespersistent cramps,2,negative,pain
changing contraceptive methods,2,negative,other_issues
getting hormones balanced,2,negative,other_issues
history of pms and heavy bleedingmenopause symptoms,2,negative,bleeding
troublesome symptoms related to period,2,negative,bleeding
unspecified symptoms,2,negative,other_issues
to avoid increasing the dose,2,negative,other_issues
endometrial hyperplasia detected during ultrasound biopsy to rule out malignancy,2,negative,other_issues
to prevent fungus prescribed by doctors with antibiotics,2,negative,other_issues
hrt since low estrogen levelhigh dose concern by gynecologist,2,negative,other_issues
symptoms returned after finishing the treatments,2,negative,other_issues
to stop ovulation until it subsides naturally due to irregular and prolonged bleeding,2,negative,bleeding
prescribed for gynaecological issue,2,negative,other_issues
prolonged bleedingfear of yeast infection,2,negative,bleeding
diagnosed with menopauseexperiencing pmds  days a yeartaking antidepressants and antianxiety medication,2,negative,anxiety_issues
to maintain the health of the endometrium if the uterus is still present,2,negative,other_issues
low estrogen levels,2,negative,other_issues
following doctors prescription,2,negative,other_issues
managing psychological problems,2,negative,other_issues
risk of cancer,2,negative,cancer_fear
to treat infertility,2,negative,other_issues
doctor wanted to change to sertraline admission to psychiatric emergency room doctor on the ward changed to saroten sertraline too similar to citalopram,2,negative,other_issues
for a specific condition related to menstruation,2,negative,other_issues
pmds treatment is unbearable,2,negative,other_issues
hrt has a tendency to affect some vitamins and minerals negativelyhrt and menopause can affect the bodys ability to absorb b and both conditions can cause similar symptoms,2,negative,other_issues
addresses the root cause of the problem,2,negative,other_issues
